"pitch_speed_mph","max_shoulder_internal_rotational_velo","max_torso_rotational_velo","max_shoulder_external_rotation","shoulder_horizontal_abduction_fp","pelvis_anterior_tilt_fp","max_cog_velo_x","glove_shoulder_external_rotation_fp","torso_lateral_tilt_br","lead_knee_extension_from_fp_to_br","stride_angle","max_shoulder_horizontal_abduction","shoulder_generation_fp_br","elbow_absorption_fp_br","lead_knee_transfer_fp_br","rear_hip_generation_pkh_fp"
87.3,4146.529,1034.7382,166.9818,30.2447,1.582,3.039,-30.6214,18.6049,26.9604,-8.1831,39.3866,36.4189,29.1599,68.3175,184.7594
87.9,4651.6868,1095.3551,177.9213,42.4626,20.3384,3.2937,-35.2662,11.8158,2.2534,11.1545,54.754,24.7472,31.9071,29.0303,168.4444
87.6,4760.2741,1084.1197,175.343,44.2542,21.6426,3.3288,-34.6362,9.4291,0.6683,7.5588,56.4581,22.7662,28.9678,19.9417,160.3819
87.8,4764.4898,1083.083,178.1733,47.9854,19.5408,3.4744,-35.9829,7.5216,1.795,9.8545,55.1314,22.1198,20.1754,19.5819,164.9614
93.1,4412.6991,969.0852,177.0473,52.6757,2.3242,3.1482,-46.8198,12.5969,21.2537,1.3274,54.7507,40.8633,63.715,60.8226,190.7297
91.4,4366.6834,1027.9336,175.9829,46.6218,9.1964,3.3477,-47.5548,10.9281,17.1159,-0.7633,53.9823,47.2585,68.706,50.9216,210.6987
72,4178.1362,848.3836,145.3224,21.5632,-1.673,2.9285,6.2328,18.6324,-0.5165,6.0077,35.9611,31.1874,29.5261,24.148,211.7572
71.4,4197.559,864.7959,143.309,18.8748,-2.3781,2.9649,-5.0265,19.2255,-4.0359,7.8853,34.3209,21.8787,22.2682,2.6307,219.4567
91.2,4252.7711,1122.2729,149.219,39.2647,4.1945,3.1293,-37.6958,21.523,17.7284,-3.8347,39.7792,40.1554,61.3258,62.8733,144.2726
90.8,4212.6858,1097.2378,150.7983,41.0023,1.8885,3.093,-32.4802,22.3176,11.8116,-3.9542,41.0422,35.9329,60.598,61.0056,124.7687
90.8,4163.1834,1138.4905,148.4333,40.2391,2.5184,3.1105,-38.0139,21.8121,16.8755,-6.2261,40.4882,42.2287,67.6246,66.847,136.6961
90.6,4289.8829,1031.5702,170.5134,37.6508,0.7286,3.0013,-36.861,36.5628,13.2075,6.9288,38.5957,56.2703,78.5268,51.5467,209.8845
90.5,4270.709,1058.2512,170.5958,36.6645,-0.0631,3.0026,-36.4404,36.6014,18.3364,4.3403,37.2924,47.2883,75.1979,61.6383,213.585
90.4,4395.451,1056.2402,170.2972,39.7713,0.2581,3.0377,-34.377,37.9282,14.9341,4.1381,39.9177,51.718,77.6943,51.1278,227.7601
83.9,4179.6342,1059.2147,172.4537,47.7924,12.6464,3.1482,-28.8384,4.469,9.3976,9.2829,53.8429,1.7612,32.3639,48.7441,152.2992
83.4,4362.8502,1063.5172,172.3286,47.5156,13.5077,3.1846,-29.3011,5.3098,7.102,9.431,57.2008,1.139,26.502,39.7079,159.96
