SHOT_DIST,CLOSE_DEF_DIST,TOUCH_TIME,SHOT_CLOCK,HEIGHT_DIFFERENTIAL,HAS_HEIGHT_ADVANTAGE,LOW_CLOCK,LONG_TOUCH,HIGH_DRIBBLE,SHOT_EVENT_ID
6.1,2.3,6.5,4.9,0.0,0,1,0,0,dfb9e529bb50
11.8,3.8,2.4,11.7,-4.0,0,0,0,0,fb4b34e536fe
4.0,1.7,2.0,18.2,-1.0,0,0,0,0,6756f054c300
24.5,3.4,1.8,12.5,-1.0,0,0,0,0,5fac7d192d84
13.8,6.1,2.7,11.4,-9.0,0,0,0,0,eddc1768c3fd
25.0,12.8,0.8,18.4,3.0,0,0,0,0,12be28b96389
22.7,5.6,1.4,12.2,1.0,0,0,0,0,7f133360d32c
22.7,6.2,0.6,19.1,2.0,0,0,0,0,9ce040c90462
19.8,5.3,0.9,11.9,1.0,0,0,0,0,03b8a1333575
18.3,4.3,7.3,4.3,1.0,0,1,0,0,c33186ffaf7f
24.2,6.0,3.1,8.4,-2.0,0,0,0,0,9f37fe908b13
2.0,2.1,0.0,14.1,0.0,0,0,0,0,cdd433d8e164
16.4,3.0,2.7,12.0,1.0,0,0,0,0,a73b055e4c99
19.0,5.3,4.5,8.3,-6.0,0,0,0,0,d48e6e9612ed
22.0,5.8,1.1,8.2,-6.0,0,0,0,0,2ddd8a52983f
2.0,0.6,0.6,17.0,-1.0,0,0,0,0,003299596f5f
7.2,1.7,0.9,7.7,0.0,0,0,0,0,b163cec1e46b
18.7,6.2,1.0,5.8,0.0,0,0,0,0,e7723f8d9de8
23.2,6.0,0.7,11.3,2.0,0,0,0,0,82c5b0fe2798
18.4,6.1,0.8,4.8,4.0,0,1,0,0,2f8b44a38f6a
23.9,2.8,1.5,8.3,-1.0,0,0,0,0,52307d09e233
4.1,1.5,3.5,13.2,-2.0,0,0,0,0,d1cb829a445b
1.6,2.5,0.6,17.6,11.0,1,0,0,0,5d31e4b1f137
6.1,1.0,4.0,20.0,-6.0,0,0,0,1,0644bde539f1
3.9,1.9,1.4,19.0,-4.0,0,0,0,0,3fa1b2c8cfd8
22.7,11.0,0.9,9.9,0.0,0,0,0,0,9b24373374dc
25.8,5.4,0.8,3.1,-3.0,0,1,0,0,78d3825e2f01
2.1,5.0,0.6,21.2,7.0,1,0,0,0,7fb4c683eae8
5.7,0.0,1.6,14.6,-2.0,0,0,0,0,07ae40d01412
2.2,2.0,8.8,13.7,-1.0,0,0,0,1,cfeae7e1e58f
24.6,4.0,1.4,10.9,3.0,0,0,0,0,5fdb3c0bb0fd
5.3,1.9,0.6,16.0,3.0,0,0,0,0,7efdd2af6c14
24.8,3.6,1.0,14.7,6.0,1,0,0,0,04c2a6fda85c
24.0,12.2,0.9,22.4,-5.0,0,0,0,0,f72a3e3944b5
6.5,2.8,1.0,9.4,2.0,0,0,0,0,6d2067a0e558
20.7,5.9,3.9,15.1,-2.0,0,0,0,0,aa2215948e58
15.4,2.9,5.8,4.2,-1.0,0,1,0,0,795b42459e6d
23.1,3.9,0.8,6.1,4.0,0,0,0,0,91d5d7e36a0d
22.7,4.6,0.6,13.3,1.0,0,0,0,0,69ed580d2566
4.1,2.7,6.0,2.9,-2.0,0,1,0,1,8c764ca54470
0.9,3.9,1.0,23.5,4.0,0,0,0,0,433630f50b2b
25.0,4.7,0.4,8.2,4.0,0,0,0,0,d1b3c4a54a8a
25.0,7.2,1.0,13.0,-6.0,0,0,0,0,08566783ffab
5.9,2.1,7.7,16.1,0.0,0,0,0,1,8fe7f10d3457
12.4,5.0,0.9,10.6,-3.0,0,0,0,0,92f7b2605a85
9.0,2.6,0.9,2.8,4.0,0,1,0,0,6ccbfa9672bc
4.8,0.1,1.8,20.7,-8.0,0,0,0,0,5d78ca0902d3
10.8,3.7,4.9,8.0,-1.0,0,0,0,0,03876ace3743
4.6,1.5,1.2,19.8,2.0,0,0,0,0,b99c854a9d8a
37.7,4.5,2.4,0.0,-3.0,0,1,0,0,1ac408f46e9e
14.8,3.6,4.0,13.1,8.0,1,0,0,0,49c67760f0b5
4.8,1.0,6.0,4.0,0.0,0,1,0,0,1200609b4762
19.4,3.5,1.3,15.9,2.0,0,0,0,0,b81b4d12fd73
16.3,3.3,3.4,9.3,-1.0,0,0,0,0,3c5c92e42736
4.7,0.6,1.5,6.5,1.0,0,0,0,0,9d35e822aecc
18.4,8.0,0.8,14.4,2.0,0,0,0,0,05271daae85e
5.9,2.9,20.3,3.8,-7.0,0,1,1,1,b6ee9f609569
6.2,1.8,6.3,18.0,3.0,0,0,0,1,1727b1282629
6.2,2.3,10.0,2.4,-11.0,0,1,1,1,2e9b96c47ae5
24.4,18.9,1.9,7.9,2.0,0,0,0,0,b63e2541c92e
4.1,3.0,1.0,15.3,0.0,0,0,0,0,ee7a01896ba0
5.3,4.3,0.6,9.6,0.0,0,0,0,0,343b023dc5d2
8.6,3.6,3.0,14.3,1.0,0,0,0,0,fa14f3933afd
20.6,3.6,0.8,14.8,-1.0,0,0,0,0,a55f5e50b083
6.1,3.4,0.9,20.1,0.0,0,0,0,0,0ffe66a4e912
3.7,12.7,1.3,0.0,-2.0,0,1,0,0,008042c276c5
20.3,2.2,5.6,16.7,1.0,0,0,0,1,d57b9aa3f1c9
7.5,2.3,5.2,8.0,0.0,0,0,0,1,0ae1d7c79a68
15.9,3.0,4.0,4.5,0.0,0,1,0,0,03b7b70b740a
6.9,3.1,6.9,24.0,-3.0,0,0,0,0,fab5df2e0512
7.8,0.8,5.2,20.0,2.0,0,0,0,1,d06d58c5756e
23.3,4.2,0.8,12.1,1.0,0,0,0,0,656594eba6d0
23.8,4.9,3.7,11.0,-1.0,0,0,0,0,1adf2cbb689f
23.9,5.1,1.1,12.4,-1.0,0,0,0,0,b2b8bcebec78
8.2,2.9,10.0,14.2,-3.0,0,0,1,1,5b34b4212999
8.4,2.3,5.4,11.7,0.0,0,0,0,0,4be54cd694e8
2.2,0.0,0.8,4.8,-1.0,0,1,0,0,bff31a990008
4.8,2.6,0.7,19.8,1.0,0,0,0,0,024682c09ee3
15.6,6.6,5.9,3.7,-1.0,0,1,0,0,438dab59b001
23.0,6.1,0.8,0.0,7.0,1,1,0,0,8e46b76a6cd0
16.6,7.1,0.8,18.2,-1.0,0,0,0,0,baa9d46aa2b2
2.2,2.7,3.6,23.7,2.0,0,0,0,0,d65b49451389
25.8,2.4,2.9,14.0,-1.0,0,0,0,0,62f1b51eede7
3.2,2.5,0.5,10.0,5.0,1,0,0,0,94c59737f253
7.4,2.0,0.0,1.0,-2.0,0,1,0,0,484c00807d1f
10.4,2.6,1.5,9.8,-6.0,0,0,0,0,8accf8ecc9b4
25.9,5.2,0.8,17.8,3.0,0,0,0,0,7638404d2da7
24.6,2.2,2.7,0.0,1.0,0,1,0,0,999443b54916
8.4,3.0,0.6,13.9,1.0,0,0,0,0,f2e100b9e132
22.8,2.9,2.8,14.4,-5.0,0,0,0,0,e3508d82e80b
2.5,2.0,0.1,10.0,-1.0,0,0,0,0,38f6a6028f42
24.8,6.7,1.3,12.4,1.0,0,0,0,0,3c460bfb9346
24.9,5.4,0.8,17.9,6.0,1,0,0,0,418f0f4bb1ca
1.4,0.8,5.6,6.8,4.0,0,0,0,0,788dca489291
24.4,4.9,2.4,10.1,4.0,0,0,0,0,d9377ca82637
25.2,8.8,1.1,16.8,-1.0,0,0,0,0,8b4827c785da
3.0,2.4,1.7,19.2,-1.0,0,0,0,0,328a273bc933
