PLAYER_NAME,total_shots,made_shots,avg_shot_dist,avg_close_def_dist
jj hickson,328,157,6.353658536585366,2.95
dwight howard,327,186,4.241590214067278,2.335474006116208
jason terry,327,139,20.24067278287462,4.9067278287461775
donald sloan,324,133,14.472530864197532,3.4697530864197534
amare stoudemire,324,178,6.476851851851852,2.65
spencer hawes,324,131,15.978703703703705,5.394753086419754
trevor booker,323,161,10.617647058823529,4.230959752321981
marco belinelli,322,139,18.038819875776397,4.996583850931677
marcus thornton,313,128,16.445047923322683,3.852076677316294
marvin williams,312,138,19.397756410256413,5.843589743589744
kirk hinrich,307,109,18.243322475570032,5.076221498371336
mirza teletovic,305,119,18.557377049180328,4.755409836065574
james johnson,304,186,7.926644736842104,3.507236842105263
kevin seraphin,301,156,8.975747508305647,3.3940199335548176
chris copeland,300,110,16.694666666666667,4.140666666666667
kevin garnett,298,138,14.509395973154364,5.099328859060402
omer asik,298,151,2.5828859060402687,2.362751677852349
marcus smart,295,106,19.0464406779661,4.340677966101695
alex len,294,156,7.293877551020408,3.4329931972789116
cj watson,294,124,17.207142857142856,4.775170068027212
jason thompson,283,130,9.970671378091872,3.918727915194346
jusuf nurkic,282,125,6.040780141843972,2.797872340425532
caron butler,281,108,19.862277580071176,4.73950177935943
derrick williams,281,128,12.435943060498222,4.144128113879003
carl landry,278,142,9.788489208633093,3.6924460431654675
otto porter,278,129,15.178417266187052,4.6388489208633095
vince carter,277,92,19.615162454873644,4.649097472924187
shane larkin,273,118,14.985714285714286,4.763003663003663
dante exum,272,95,19.71985294117647,5.951838235294118
anthony bennett,270,113,13.815925925925926,4.687777777777778
rudy gobert,261,162,3.5885057471264368,2.418773946360153
steve adams,259,145,4.847104247104247,2.5590733590733588
shaun livingston,253,133,9.459683794466404,3.0632411067193677
al farouq aminu,251,107,12.851394422310756,4.943027888446215
lavoy allen,248,122,10.95040322580645,4.733467741935484
ben gordon,247,108,16.606477732793522,3.9461538461538463
jon leuer,247,109,12.06072874493927,4.199595141700405
aron baynes,246,133,5.984552845528455,3.065040650406504
leandro barbosa,246,114,13.00691056910569,4.200813008130082
dante cunningham,244,112,14.124180327868853,4.754918032786885
kosta koufos,244,122,6.898360655737705,3.2135245901639347
steve blake,240,89,21.05708333333333,5.629166666666666
charlie villanueva,235,99,18.557021276595744,5.165106382978723
john henson,234,136,5.015384615384615,2.6803418803418806
ray mccallum,234,104,13.135470085470084,4.08034188034188
andrew bogut,234,129,5.138461538461539,3.120940170940171
robert sacre,234,97,10.75042735042735,3.838034188034188
omri casspi,233,111,8.021459227467812,3.3515021459227468
shawne williams,231,97,19.118181818181817,5.633333333333333
