pitch_speed_mph,arm_slot,cog_velo_pkh,elbow_absorption_fp_br,elbow_flexion_fp,elbow_pronation_fp,elbow_transfer_fp_br,glove_shoulder_abduction_fp,glove_shoulder_external_rotation_fp,lead_grf_x_max,lead_grf_z_max,lead_hip_absorption_fp_br,lead_hip_transfer_fp_br,lead_knee_absorption_fp_br,lead_knee_extension_angular_velo_max,lead_knee_extension_from_fp_to_br,lead_knee_generation_fp_br,lead_knee_transfer_fp_br,max_cog_velo_x,max_elbow_extension_velo,max_elbow_flexion,max_rotation_hip_shoulder_separation,max_shoulder_external_rotation,max_shoulder_horizontal_abduction,max_shoulder_internal_rotational_velo,max_torso_rotational_velo,pelvis_anterior_tilt_fp,pelvis_lumbar_transfer_fp_br,pelvis_rotation_fp,rear_grf_mag_max,rear_grf_x_max,rear_hip_generation_pkh_fp,rear_knee_transfer_pkh_fp,shoulder_generation_fp_br,shoulder_horizontal_abduction_fp,shoulder_internal_rotation_moment,stride_angle,stride_length,torso_anterior_tilt_mer,torso_lateral_tilt_br,torso_lateral_tilt_fp,session_pitch,user,session_mass_kg,session_height_m,age_yrs,playing_level,p_throws
86.0,34.9069,0.2008,75.7123,105.6757,18.5232,450.1332,74.1491,-24.3936,1089.6416,2351.9593,132.8347,41.2018,36.0629,268.8299,-2.1803,25.6923,44.4073,2.7843,2376.38,117.8214,33.2989,175.046,50.6812,4191.9269,1060.4802,9.243,105.5206,36.8939,1817.4181,831.3036,256.6221,102.7472,70.6516,48.944,108.3464,-5.2121,0.7902,25.055,11.914,-4.1181,1561_3,949.0,118.3896,1.9304,25.88,independent,R
91.8,14.2106,0.1995,68.4281,88.8893,16.6906,380.4952,52.2092,-28.4428,1465.783,2186.1718,129.4767,11.4499,21.9105,243.8379,-7.0362,0.313,25.7126,3.0202,2181.3653,109.109,32.138,172.3515,57.4465,4548.6288,1067.5775,23.9886,107.343,56.8348,1266.537,722.5434,214.1893,67.68,53.9035,38.4432,114.7807,-7.3577,0.8172,0.6597,6.5594,0.4005,1562_1,874.0,95.7096,1.8542,20.81,college,R
90.3,15.5057,0.2143,71.6254,95.6138,13.4108,393.8854,55.092,-22.9257,1411.5372,2094.3249,108.0272,6.8041,26.5514,250.8683,-7.6399,0.5001,14.3539,3.0566,2176.5576,111.7245,34.9612,172.8179,57.8636,4457.0226,1087.3926,21.929,150.3773,51.4191,1229.8782,724.1043,215.4514,58.0069,53.9542,43.6023,115.4194,-5.4804,0.8155,1.5174,6.7458,2.0107,1562_2,874.0,95.7096,1.8542,20.81,college,R
90.6,17.6177,0.2359,56.4441,85.7068,18.0923,377.67,57.8468,-27.3972,1560.7022,2281.5053,134.6453,26.4426,18.2058,359.9479,-1.4067,1.6229,36.166,3.0741,2152.4533,108.7597,33.5415,174.8582,58.2855,4647.0357,1075.4321,18.6748,139.7095,51.469,1291.3807,749.6812,216.4785,63.226,44.1975,46.3866,117.1752,-6.7803,0.8199,-0.2943,10.2418,1.5545,1562_3,874.0,95.7096,1.8542,20.81,college,R
89.8,37.238,0.3086,48.2368,90.5301,-1.711,297.7452,70.5628,-29.0502,866.0952,1604.5549,104.4218,16.5689,48.8151,346.568,-3.9558,34.4114,21.8088,2.9838,2416.5436,113.4467,27.5131,184.7196,63.4027,4413.6989,1015.8496,7.6171,36.5013,24.3294,1500.357,797.9097,31.3489,7.924,64.7632,63.2703,74.2897,5.642,0.8156,10.7955,13.8828,-11.8717,1574_1,952.0,87.0912,1.9304,21.22,college,R
88.6,36.2364,0.3639,51.5431,91.2153,15.433,335.0575,70.1483,-29.793,824.4647,1600.557,98.2459,16.0139,42.9177,314.2521,-4.33,27.2221,20.5032,3.0013,2497.2949,116.6243,27.8371,181.0923,61.5829,4441.5525,1006.1249,6.293,32.3374,25.7808,1533.2391,823.5798,29.1087,5.6733,36.8987,61.2413,104.7675,4.0899,0.8182,10.6758,15.6978,-11.1425,1574_2,952.0,87.0912,1.9304,21.22,college,R
89.5,35.1777,0.3639,51.2367,90.2859,17.2488,343.6619,71.0058,-32.1627,925.2005,1671.9663,109.2306,33.8025,41.5417,395.6343,1.3409,48.0233,30.1295,2.9838,2443.9308,114.6153,27.6326,183.9835,63.9691,4396.7695,1023.9771,7.4228,52.5164,23.9299,1613.272,879.1323,26.2423,10.8986,40.3408,63.8887,101.2948,4.0328,0.8236,13.6133,14.6933,-11.1378,1574_3,952.0,87.0912,1.9304,21.22,college,R
82.3,54.9375,0.31,51.3883,117.2612,6.0976,337.5935,71.4603,-23.6748,1049.4937,1848.9308,68.2122,48.8696,12.3119,330.4776,15.907,24.8389,53.2543,2.7102,2517.5732,123.1476,27.2202,162.6345,29.5808,4613.9717,1063.3883,6.2595,114.2186,26.5626,1552.3189,770.8995,95.9625,54.592,37.4876,28.6404,111.3611,7.1443,0.8679,17.9612,31.2756,3.4195,1581_1,956.0,94.8024,1.7018,21.51,college,R
82.3,51.9916,0.3571,50.78,115.684,1.4475,344.4353,66.4554,-26.4267,1356.0331,2278.8134,71.3987,39.1863,11.2548,393.4227,17.5512,15.481,57.6609,2.7655,2485.4035,121.0207,28.4361,163.9942,29.3327,4657.1729,1128.1505,9.23,110.9205,29.034,1627.004,822.218,85.9423,56.3457,40.6309,25.9529,112.2023,8.9747,0.9054,16.8127,25.3891,5.7767,1581_2,956.0,94.8024,1.7018,21.51,college,R
83.0,49.1843,0.375,52.0989,116.6846,5.5392,343.1315,69.4876,-25.1399,1009.2164,1961.0183,81.7793,49.6053,15.403,330.9895,11.3964,26.8097,64.5824,2.783,2442.3611,121.8559,28.3802,163.8234,29.8258,4596.8585,1081.1519,7.0541,98.6358,27.7212,1616.1482,834.3518,82.0335,56.028,40.9636,28.5539,111.0322,8.3505,0.8795,20.823,26.3763,6.144,1581_3,956.0,94.8024,1.7018,21.51,college,R
